Respondent_ID,Timestamp,Select Your Age,Select Your Gender,Select Your Education level,IT proficiency at the,Which of these is the best example of a strong password?,Why should you not use the same password for all your accounts?,What does a password-saving app do?,Why is it risky to use personal info like your birthday in a password?,Why is it important to keep your password private even from close friends?,Why is Two-Factor Authentication (2FA) important?,What should you do if a site says your password was leaked in a breach?,How often should you change important passwords (like email or banking)?,What is a safe way to share a password (if you must)?,Which of these actions increases your password security the most?
1,2025/08/20 10:44:05 AM GMT+5:30,26,Male,Degree,University / Diploma level,g6$L7@QwZ9p#,"If one leaks, all your accounts can be hacked",Keeps and locks your passwords safely,Hackers can find it on social media,Sharing can let them access your accounts without permission,It gives extra protection,Change it everywhere you used it,Every 6 months or after suspicious activity,Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
2,2025/08/20 10:48:37 AM GMT+5:30,24,Male,Degree,University / Diploma level,John1234,"Some accounts are not important, so reuse is okay",Sends your passwords to others,It’s easy for you to remember,They might forget it,It gives extra protection,Change it only on that site,Every few years,Say it over the phone,Writing passwords on sticky notes near your computer
3,2025/08/22 8:09:47 AM GMT+5:30,22,Female,Diploma,University / Diploma level,John@123!,"If one leaks, all your accounts can be hacked",Keeps and locks your passwords safely,Hackers can find it on social media,Sharing can let them access your accounts without permission,It gives extra protection,Change it everywhere you used it,Every 6 months or after suspicious activity,Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
4,2025/08/22 8:11:19 AM GMT+5:30,22,Female,Diploma,University / Diploma level,John1234,It takes more time to type,Sends your passwords to others,Hackers can find it on social media,Sharing can let them access your accounts without permission,It gives extra protection,Keep using the same password,Every few years,Send on WhatsApp,Reusing passwords on trusted websites
5,2025/08/22 8:12:11 AM GMT+5:30,25,Male,Degree,University / Diploma level,g6$L7@QwZ9p#,It takes more time to type,Sends your passwords to others,It’s easy for you to remember,They might forget it,It makes login slower,Keep using the same password,Every few years,Say it over the phone,Reusing passwords on trusted websites
6,2025/08/22 8:30:09 AM GMT+5:30,22,Male,Degree,University / Diploma level,John1234,"If it’s strong, it’s fine everywhere",Sends your passwords to others,It’s easy for you to remember,They might forget it,It gives extra protection,Keep using the same password,Every few years,Say it over the phone,Reusing passwords on trusted websites
7,2025/08/22 8:33:37 AM GMT+5:30,22,Male,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Stores them in a simple file,It’s easy for you to remember,Sharing can let them access your accounts without permission,It gives extra protection,Keep using the same password,Every 6 months or after suspicious activity,Say it over the phone,"Using long, random passwords and storing them in a secure app"
8,2025/08/22 8:36:39 AM GMT+5:30,22,Female,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Sends your passwords to others,It’s easy for you to remember,Sharing can let them access your accounts without permission,It gives extra protection,Change it only on that site,Every 6 months or after suspicious activity,Say it over the phone,Writing passwords on sticky notes near your computer
9,2025/08/22 8:37:18 AM GMT+5:30,22,Female,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Stores them in a simple file,It makes the password shorter,Sharing can let them access your accounts without permission,It gives extra protection,Change it only if you remember,Every 6 months or after suspicious activity,Say it over the phone,Writing passwords on sticky notes near your computer
10,2025/08/22 8:37:57 AM GMT+5:30,22,Female,Degree,University / Diploma level,g6$L7@QwZ9p#,"If it’s strong, it’s fine everywhere",Stores them in a simple file,Hackers can find it on social media,It makes your password longer,It gives extra protection,Change it only on that site,Every few years,Say it over the phone,"Using long, random passwords and storing them in a secure app"
11,2025/08/22 11:41:54 AM GMT+5:30,22,Female,Diploma,School level,g6$L7@QwZ9p#,"If it’s strong, it’s fine everywhere",Keeps and locks your passwords safely,It’s easy for you to remember,Sharing can let them access your accounts without permission,It gives extra protection,Change it everywhere you used it,"Never, if it’s strong",Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
12,2025/08/22 12:47:46 PM GMT+5:30,25,Female,Degree,University / Diploma level,John@123!,"If it’s strong, it’s fine everywhere",Sends your passwords to others,It’s easy for you to remember,Sharing can let them access your accounts without permission,It works only on phones,Change it only if you remember,Every 6 months or after suspicious activity,Use a secure password-sharing tool,Writing passwords on sticky notes near your computer
13,2025/08/25 8:53:51 AM GMT+5:30,25,Female,Degree,University / Diploma level,John@123!,"Some accounts are not important, so reuse is okay",Stores them in a simple file,Hackers can find it on social media,Sharing can let them access your accounts without permission,It gives extra protection,Change it only if you remember,Every 6 months or after suspicious activity,Say it over the phone,Writing passwords on sticky notes near your computer
14,2025/08/25 8:54:36 AM GMT+5:30,25,Male,Degree,University / Diploma level,John@123!,"Some accounts are not important, so reuse is okay",Sends your passwords to others,It makes the password shorter,Friends will remember it better than you,It gives extra protection,Change it only if you remember,Every 6 months or after suspicious activity,Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
15,2025/08/25 8:55:06 AM GMT+5:30,23,Female,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Stores them in a simple file,Hackers can find it on social media,Sharing can let them access your accounts without permission,It gives extra protection,Change it only on that site,"Never, if it’s strong",Say it over the phone,"Using long, random passwords and storing them in a secure app"
16,2025/08/25 8:55:34 AM GMT+5:30,26,Female,Degree,University / Diploma level,John@123!,"Some accounts are not important, so reuse is okay",Keeps and locks your passwords safely,It makes the password shorter,It makes your password longer,It gives extra protection,Change it only if you remember,Every 6 months or after suspicious activity,Say it over the phone,"Using long, random passwords and storing them in a secure app"
17,2025/08/25 8:56:05 AM GMT+5:30,25,Female,Degree,University / Diploma level,John@123!,"Some accounts are not important, so reuse is okay",Writes them on paper,It makes the password shorter,Sharing can let them access your accounts without permission,It works only on phones,Change it only if you remember,Every 6 months or after suspicious activity,Post it in a private Facebook group,"Using long, random passwords and storing them in a secure app"
18,2025/08/25 8:56:32 AM GMT+5:30,25,Male,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Sends your passwords to others,Hackers can find it on social media,Sharing can let them access your accounts without permission,It works only on phones,Change it only if you remember,Every 6 months or after suspicious activity,Post it in a private Facebook group,Writing passwords on sticky notes near your computer
19,2025/08/25 8:57:06 AM GMT+5:30,25,Male,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Keeps and locks your passwords safely,Hackers can find it on social media,Sharing can let them access your accounts without permission,It gives extra protection,Change it only if you remember,Every 6 months or after suspicious activity,Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
20,2025/08/25 8:57:56 AM GMT+5:30,22,Female,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Keeps and locks your passwords safely,It makes the password shorter,Sharing can let them access your accounts without permission,It replaces your password,Change it only if you remember,Every 6 months or after suspicious activity,Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
21,2025/08/25 4:28:50 PM GMT+5:30,23,Male,Degree,University / Diploma level,John@123!,"If it’s strong, it’s fine everywhere",Sends your passwords to others,It makes the password shorter,Sharing can let them access your accounts without permission,It gives extra protection,Change it only if you remember,Every 6 months or after suspicious activity,Use a secure password-sharing tool,Writing passwords on sticky notes near your computer
22,2025/08/25 4:29:16 PM GMT+5:30,23,Female,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Sends your passwords to others,Hackers can find it on social media,Sharing can let them access your accounts without permission,It works only on phones,Keep using the same password,Every 6 months or after suspicious activity,Use a secure password-sharing tool,"Using long, random passwords and storing them in a secure app"
23,2025/08/25 4:29:42 PM GMT+5:30,23,Male,Degree,University / Diploma level,g6$L7@QwZ9p#,"Some accounts are not important, so reuse is okay",Writes them on paper,Hackers can find it on social media,Sharing can let them access your accounts without permission,It works only on phones,Change it only if you remember,Every 6 months or after suspicious activity,Use a secure password-sharing tool,Writing passwords on sticky notes near your computer
